cd_papel,data,abertura,maximo,minimo,medio,fechamento,oferta_compra,qtd_negocios,oferta_venda,qtd_tot_papeis,volume,f_ajuste,retorno,true_range,anomalia
1,1994-02-09,150.01,170.0,150.01,161.72,162.4,162.5,39,180.0,2260000,365491800.0,1.14158215010142,0.0899328859060402,19.99000000000001,Volume Spike
1,1994-02-11,205.0,230.0,204.0,212.91,230.0,220.0,32,230.0,1110000,236340400.0,1.14158215010142,0.17948717948717952,26.0,Volume Spike
1,1994-02-17,240.0,270.0,240.0,255.92,270.0,260.01,36,270.0,1830000,468339700.0,1.14158215010142,0.17391304347826098,30.0,Volume Spike
1,1994-02-21,250.0,250.0,239.99,242.67,239.99,210.0,18,239.85,1420000,344592200.0,1.14158215010142,-0.040039999999999965,10.009999999999991,Volume Spike
1,1994-02-22,245.0,250.0,240.0,244.46,240.0,240.0,19,246.0,1540000,376479900.0,1.14158215010142,4.166840285013684e-05,10.0,Volume Spike
1,1994-02-23,245.0,250.0,239.0,241.68,240.0,210.0,21,239.99,1430000,345610000.0,1.14158215010142,0.0,11.0,Volume Spike
1,1994-02-24,210.0,210.0,195.0,201.28,205.0,205.0,26,220.0,2640000,531388000.0,1.14158215010142,-0.14583333333333337,15.0,Volume Spike
1,1994-03-01,205.0,220.0,205.0,214.9,220.0,215.0,9,230.0,1450000,311610000.0,1.14158215010142,0.06796116504854366,15.0,Volume Spike
1,1994-03-08,225.0,234.0,225.0,233.68,234.0,230.0,5,235.0,820000,191620000.0,1.14158215010142,0.017391304347825987,9.0,Volume Spike
1,1994-03-11,250.0,253.0,240.0,249.17,253.0,0.0,10,253.0,900000,224260000.0,1.14158215010142,0.01200000000000001,13.0,Volume Spike
1,1994-03-30,260.0,270.0,260.0,263.84,265.0,261.0,20,265.0,1070000,282310900.0,1.14158215010142,0.021194605009633882,10.0,Volume Spike
1,1994-04-28,280.0,287.0,280.0,286.31,280.5,270.0,11,280.5,2390000,684285000.0,1.14158215010142,0.07884615384615379,7.0,Volume Spike
1,1994-04-29,280.0,289.99,275.0,275.22,289.99,270.0,5,289.99,880000,242199900.0,1.14158215010142,0.03383244206773628,14.990000000000009,Volume Spike
1,1994-05-19,270.0,283.0,270.0,279.59,279.99,275.0,20,279.99,1090000,304758800.0,1.14158215010142,0.0768431983385256,13.0,Volume Spike
1,1994-05-20,270.0,285.0,270.0,279.81,280.01,275.0,23,285.0,2430000,679961400.0,1.14158215010142,7.143112254004436e-05,15.0,Volume Spike
1,1994-05-24,300.0,310.0,300.0,300.62,310.0,301.0,17,310.0,820000,246510000.0,1.14158215010142,0.03333333333333344,10.0,Volume Spike
1,1994-05-25,319.99,325.0,311.0,321.85,324.0,301.0,21,324.0,610000,196329000.0,1.14158215010142,0.04516129032258065,14.0,Volume Spike
1,1994-06-07,430.0,430.0,405.0,415.6,410.0,200.01,10,410.0,820000,340800000.0,1.14158215010142,2.439083880090287e-05,25.0,Volume Spike
1,1994-06-13,400.0,400.0,380.0,386.83,385.0,380.0,13,385.0,730000,282390000.0,1.14158215010142,-0.060975609756097615,20.0,Volume Spike
1,1994-06-22,429.0,430.0,429.0,429.98,430.0,401.0,8,430.0,1530000,657880000.0,1.14158215010142,0.023809523809523725,1.0,Volume Spike
1,1994-06-29,465.0,470.0,465.0,468.21,470.0,466.0,9,472.0,410000,191970000.0,1.14158215010142,0.04444444444444451,5.0,Volume Spike
2,1994-02-22,7.1,8.0,6.9,7.46,8.0,7.9,10,8.0,3822000,28517000.0,0.000717274383393396,0.17302052785923738,1.0999999999999996,Volume Spike
2,1994-03-16,10.5,11.0,10.5,10.78,11.0,10.25,7,10.99,3718000,40108400.0,0.000717274383393396,0.10000000000000009,0.5,Volume Spike
2,1994-03-30,12.49,12.5,12.3,12.31,12.3,12.3,9,12.5,32176000,396089000.0,0.000717274383393396,0.0,0.1999999999999993,Volume Spike
2,1994-04-11,12.0,12.3,12.0,12.26,12.3,12.1,10,12.5,3750000,45979100.0,0.000717274383393396,0.00819672131147553,0.3000000000000007,Volume Spike
2,1994-05-09,11.0,12.0,11.0,11.62,12.0,11.0,9,0.0,6771000,78709410.0,0.000717274383393396,0.0,1.0,Volume Spike
2,1994-05-19,13.9,14.0,13.9,13.9,14.0,13.0,6,0.0,2550000,35450000.0,0.000717274383393396,0.1570247933884299,0.09999999999999964,Volume Spike
2,1994-05-24,14.01,16.0,14.01,15.77,16.0,15.3,6,18.0,2386000,37646800.0,0.000717274383393396,0.11888111888111874,1.9900000000000002,Volume Spike
2,1994-06-13,18.5,22.0,18.5,21.31,22.0,21.0,7,23.5,2096000,44669400.0,0.000717274383393396,0.14523685580426848,3.5,Volume Spike
2,1994-06-16,23.0,23.0,22.49,22.56,22.49,22.4,9,23.0,1942000,43829770.0,0.000717274383393396,-0.0004444444444444695,0.5100000000000016,Volume Spike
2,1994-06-23,25.0,26.0,25.0,25.59,25.5,23.85,8,26.0,1400000,35836500.0,0.000717274383393396,0.028225806451612767,1.0,Volume Spike
