Ano,Empresa,CNPJ,Receita_Liquida,Resultado_Bruto,Resultado_Antes_IR,Lucro_Liquido,Ativo_Total,Patrimonio_Liquido,Passivo_Total
2010,PETROBRAS,33.000.167/0001-01,182833794.0,44437409.0,33344072.0,0.0,350418897.0,166893136.0,350418897.0
2011,PETROBRAS,33.000.167/0001-01,211841891.0,45288154.0,35881332.0,0.0,516845748.0,309828275.0,516845748.0
2012,PETROBRAS,33.000.167/0001-01,244176142.0,44228720.0,33109612.0,0.0,600096965.0,332223611.0,600096965.0
2013,PETROBRAS,33.000.167/0001-01,281379482.0,31476031.0,20959362.0,0.0,669031561.0,330775385.0,669031561.0
2014,PETROBRAS,33.000.167/0001-01,304890000.0,34357000.0,23007000.0,0.0,752967000.0,349334000.0,752967000.0
2015,PETROBRAS,33.000.167/0001-01,337260000.0,-21916000.0,-21924000.0,0.0,793375000.0,310722000.0,793375000.0
2016,PETROBRAS,33.000.167/0001-01,321638000.0,-13188000.0,-35171000.0,0.0,900135000.0,257930000.0,900135000.0
2017,PETROBRAS,33.000.167/0001-01,282589000.0,16482000.0,-13045000.0,0.0,804945000.0,252743000.0,804945000.0
2018,PETROBRAS,33.000.167/0001-01,283695000.0,37773000.0,377000.0,0.0,831515000.0,269609000.0,831515000.0
2019,PETROBRAS,33.000.167/0001-01,310255000.0,62465000.0,26698000.0,0.0,860473000.0,283543000.0,860473000.0
2020,PETROBRAS,33.000.167/0001-01,302245000.0,81701000.0,40970000.0,0.0,926011000.0,299137000.0,926011000.0
2021,PETROBRAS,33.000.167/0001-01,272069000.0,49621000.0,6246000.0,0.0,987419000.0,311150000.0,987419000.0
2022,PETROBRAS,33.000.167/0001-01,452668000.0,210831000.0,107264000.0,0.0,972951000.0,389581000.0,972951000.0
2023,PETROBRAS,33.000.167/0001-01,641256000.0,294255000.0,189005000.0,0.0,976709000.0,364385000.0,976709000.0
2024,PETROBRAS,33.000.167/0001-01,511994000.0,189342000.0,125166000.0,0.0,1050888000.0,382340000.0,1050888000.0
2010,VALE,33.592.510/0001-54,48496566.0,13364870.0,10504879.0,0.0,177738189.0,100295227.0,177738189.0
2011,VALE,33.592.510/0001-54,83225006.0,40441956.0,30421692.0,0.0,214662114.0,116326862.0,214662114.0
2012,VALE,33.592.510/0001-54,102018680.0,52274199.0,37407855.0,0.0,237088552.0,146680620.0,237088552.0
2013,VALE,33.592.510/0001-54,91269482.0,15167191.0,9390934.0,0.0,266921654.0,152909437.0,266921654.0
2014,VALE,33.592.510/0001-54,101489747.0,33436715.0,-257566.0,0.0,291880311.0,152122066.0,291880311.0
2015,VALE,33.592.510/0001-54,88274564.0,17572598.0,219588.0,0.0,309415532.0,149601623.0,309415532.0
2016,VALE,33.592.510/0001-54,78057424.0,-27191298.0,-45996622.0,0.0,345549435.0,139419590.0,345549435.0
2017,VALE,33.592.510/0001-54,94633264.0,20719633.0,13296496.0,0.0,322696154.0,133701739.0,322696154.0
2018,VALE,33.592.510/0001-54,108532022.0,34533678.0,17669992.0,0.0,328096703.0,148105642.0,328096703.0
2019,VALE,33.592.510/0001-54,134483126.0,43175744.0,25773768.0,0.0,341714838.0,173682178.0,341714838.0
2020,VALE,33.592.510/0001-54,148639921.0,2239775.0,-8696040.0,0.0,369670328.0,157149353.0,369670328.0
2021,VALE,33.592.510/0001-54,206098000.0,62557000.0,24903000.0,0.0,478129515.0,180985777.0,478129515.0
