referencia,Média (USD),Mediana (USD),Desvio_Padrão (USD),Variância,Coef_Variação (%),Mínimo (USD),Máximo (USD),Amplitude (USD)
AAPL,47.62736368901172,15.692867279052734,68.27790261736662,4661.8719858266,143.35855972040557,0.1967414915561676,278.8500061035156,278.65326461195946
MSFT,97.95239871605897,25.524518966674805,128.99865620487128,16640.653302662577,131.69524983130648,11.138548851013184,541.057373046875,529.9188241958618
GOOGL,44.880524767237205,18.230375289916992,53.74404148330693,2888.421994959416,119.74913787670349,2.4839847087860107,323.22857666015625,320.74459195137024
NVDA,13.492931133612032,0.4644894301891327,34.89711265328417,1217.8084715360062,258.63255587477585,0.0563092231750488,207.02847290039065,206.9721636772156
META,131.50196194849954,37.99576568603516,155.11625391293558,24061.052227982294,117.9573685552191,17.621368408203125,789.4671630859375,771.8457946777344
JPM,64.72876701791063,32.502689361572266,62.00328815436957,3844.407741953785,95.7893854786591,8.126893997192383,320.4100036621094,312.283109664917
BAC,21.99559303637533,21.5238037109375,10.597677807497854,112.31077491153256,48.18091419482025,2.4302475452423096,53.83025741577149,51.400009870529175
GS,173.6344893407068,132.10504150390625,136.09756800022143,18522.548015574896,78.38164440543251,38.769798278808594,834.831298828125,796.0615005493164
WFC,29.50722574188937,22.908966064453125,15.89149735076369,252.53968804932936,53.85629096334742,5.326457500457764,86.84341430664062,81.51695680618286
C,119.14652023092998,54.22061538696289,110.54585671937004,12220.386437819492,92.78143961326766,7.568426132202148,378.46771240234375,370.8992862701416
XOM,49.234668736225885,47.562835693359375,25.41285951797018,645.8134288800876,51.61578247661065,14.09103298187256,119.94603729248048,105.85500431060792
CVX,64.17894161488356,59.72450637817383,40.78514064567663,1663.4276974876236,63.54910133983616,12.928564071655272,165.55313110351562,152.62456703186035
COP,40.4858502303418,34.00214385986328,28.1917486421501,794.7746915021719,69.63358428131025,6.106151580810547,126.43523406982422,120.32908248901369
JNJ,74.77943558054174,49.15049362182617,47.30707987461986,2237.9598062636637,63.26215156260096,17.454498291015625,207.55999755859372,190.10549926757807
UNH,145.2958903551943,46.62081909179688,164.94900140377987,27208.17306410418,113.52626767387642,4.616298198699951,607.8906860351562,603.2743878364563
PFE,18.56962147939968,16.266948699951172,8.929130313984606,79.72936816411884,48.08461133087818,5.587490081787109,49.87106704711914,44.28357696533203
WMT,25.399069552518885,17.805540084838867,20.51093918446318,420.6986262287471,80.75468726148301,9.249749183654783,110.51000213623048,101.26025295257568
AMZN,49.83241936259883,12.79599952697754,65.50055119707721,4290.322207120934,131.44164388341522,0.2985000014305115,254.0,253.7014999985695
HD,110.5540369634378,46.832481384277344,115.57071095095938,13356.589229710204,104.53775739476676,11.82777976989746,420.8769836425781,409.0492038726807
^GSPC,2253.4766144505925,1522.280029296875,1431.9476677123498,2050474.1230668384,63.54393289594731,676.530029296875,6890.89013671875,6214.360107421875
^DJI,18872.15943113324,13825.330078125,10363.91991805928,107410836.0679459,54.91644957684076,6547.0498046875,48254.8203125,41707.7705078125
^IXIC,5973.188638174079,3649.0400390625,5187.075589062472,26905753.16664779,86.83930649556866,1114.1099853515625,23958.470703125,22844.36071777344
