Unnamed: 0,Ticker,Nome,Setor,MarketCap,PE,Forward_PE,PB,PS,Dividend_Yield,Beta,ROE,ROA,Profit_Margin,Current_Ratio,Debt_to_Equity,Revenue_Growth,Gross_Margin,Operating_Margin,Free_Cashflow,52W_High,52W_Low
AAPL,AAPL,Apple Inc.,Technology,4129783545856,37.302948,30.534452,55.75636,9.923524,0.37,1.107,1.7142199,0.22964,0.26915002,0.893,152.411,0.079,0.46905,0.31647,78862254080.0,288.62,169.21
MSFT,MSFT,Microsoft Corporation,Technology,3556993138688,34.010662,25.553968,9.797912,12.106358,0.76,1.07,0.32241002,0.14656,0.35707,1.401,33.154,0.184,0.68764,0.48873,53327376384.0,555.45,344.79
GOOGL,GOOGL,Alphabet Inc.,Communication Services,3746158346240,30.501972,27.665644,9.655355,9.7182665,0.27,1.07,0.3545,0.16275999,0.32233003,1.747,11.424,0.159,0.59172,0.30512,47997751296.0,328.83,140.53
NVDA,NVDA,NVIDIA Corporation,Technology,4261212061696,43.321785,23.538843,35.77678,22.76994,0.02,2.284,1.07359,0.53528,0.53007,4.468,9.102,0.625,0.7005,0.63168997,53282873344.0,212.19,86.62
META,META,"Meta Platforms, Inc.",Communication Services,1623799496704,28.493143,21.388508,8.368796,8.570762,0.33,1.273,0.32643002,0.18013,0.30892,1.978,26.311,0.262,0.82013,0.40075,18617749504.0,796.25,479.8
JPM,JPM,JPMorgan Chase & Co.,Financial Services,875851546624,15.776126,14.988175,2.5490367,5.237438,1.88,1.075,0.16437,0.01323,0.347,,,0.088,0.0,0.43708,,322.25,202.16
BAC,BAC,Bank of America Corporation,Financial Services,408419074048,15.065574,12.602016,1.4529262,4.026015,2.03,1.304,0.09871,0.00881,0.29224002,,,0.126,0.0,0.35292998,,55.295,33.07
GS,GS,"The Goldman Sachs Group, Inc.",Financial Services,268804227072,18.051638,16.141373,2.5514698,4.688146,1.8,1.348,0.13532,0.009430001,0.29073998,1.657,586.142,0.207,0.82997,0.37203997,,919.1,439.38
WFC,WFC,Wells Fargo & Company,Financial Services,297151201280,15.2817135,13.397404,1.7751751,3.7579825,1.94,1.108,0.115200005,0.01064,0.26629,,,0.075,0.0,0.33717,,93.42,58.42
C,C,Citigroup Inc.,Financial Services,205812400128,15.702248,11.338743,1.0312798,2.730187,2.15,1.196,0.06995,0.0058399998,0.19488001,,,0.116,0.0,0.30606002,,113.26,55.51
XOM,XOM,Exxon Mobil Corporation,Energy,506559004672,17.270348,16.445425,1.9230894,1.5526952,3.47,0.379,0.11424,0.05108,0.091809995,1.137,15.672,-0.051,0.31222,0.11057,17292750848.0,120.81,97.8
CVX,CVX,Chevron Corporation,Energy,302203207680,21.09564,19.565258,1.5908321,1.6016111,4.56,0.673,0.07316,0.04047,0.06767,1.152,21.239,-0.014,0.40602002,0.098529994,15743875072.0,168.96,132.04
COP,COP,ConocoPhillips,Energy,119323951104,13.49435,15.317599,1.8184587,1.9471923,3.52,0.328,0.15421,0.080979995,0.14445,1.323,36.169,0.14,0.47415,0.19543,6092499968.0,106.2,79.88
JNJ,JNJ,Johnson & Johnson,Healthcare,509758668800,20.44251,18.352268,6.421829,5.531896,2.46,0.349,0.33619,0.08264,0.27259,1.074,57.766,0.068,0.68355006,0.30200002,12008999936.0,212.27,140.68
UNH,UNH,UnitedHealth Group Incorporated,Healthcare,309651865600,17.822731,19.238865,3.233294,0.71158326,2.59,0.432,0.17476,0.05361,0.04042,0.823,75.734,0.122,0.19701,0.03813,17768749056.0,606.36,234.6
PFE,PFE,Pfizer Inc.,Healthcare,146975555584,15.02907,8.44134,1.5838492,2.3409343,6.65,0.42,0.105979994,0.05189,0.15654999,1.282,66.531,-0.059,0.74808,0.35277,14302749696.0,27.69,20.92
WMT,WMT,Walmart Inc.,Consumer Defensive,930431696896,40.804195,39.147278,9.681434,1.3234012,0.81,0.641,0.23661,0.06539,0.03259,0.803,66.747,0.058,0.24906999,0.0373,10372750336.0,116.95,79.81
AMZN,AMZN,"Amazon.com, Inc.",Consumer Cyclical,2418019926016,31.94774,28.793766,6.53974,3.4976346,,1.372,0.24327,0.07495,0.11063,1.009,43.405,0.134,0.50046,0.11057,26080000000.0,258.6,161.38
HD,HD,"The Home Depot, Inc.",Consumer Cyclical,358035685376,24.516018,23.688566,29.535189,2.1543884,2.56,1.051,1.62909,0.13226,0.087740004,1.051,544.586,0.028,0.33355,0.12945,9733999616.0,426.75,326.31
