Ano,Empresa,CNPJ,Receita_Liquida,Resultado_Bruto,Lucro_Liquido,Resultado_Antes_IR,Patrimonio_Liquido,Passivo_Total,Ativo_Total
2010,PETROBRAS,33.000.167/0001-01,213273669.0,77221840.0,35901445.0,35901445.0,310223300.0,519970003.0,519970003.0
2011,PETROBRAS,33.000.167/0001-01,244176142.0,77236882.0,33109612.0,33109612.0,332223611.0,599149983.0,599149983.0
2012,PETROBRAS,33.000.167/0001-01,281379482.0,70907353.0,20959362.0,20959362.0,345433653.0,677716287.0,677716287.0
2013,PETROBRAS,33.000.167/0001-01,304889934.0,71163982.0,23006885.0,23006885.0,349333684.0,752966638.0,752966638.0
2014,PETROBRAS,33.000.167/0001-01,337260000.0,80437000.0,-21924000.0,-21924000.0,310722000.0,793375000.0,793375000.0
2015,PETROBRAS,33.000.167/0001-01,321638000.0,98576000.0,-35171000.0,-35171000.0,257930000.0,900135000.0,900135000.0
2016,PETROBRAS,33.000.167/0001-01,282589000.0,89978000.0,-13045000.0,-13045000.0,252743000.0,804945000.0,804945000.0
2017,PETROBRAS,33.000.167/0001-01,283695000.0,91595000.0,377000.0,377000.0,269609000.0,831515000.0,831515000.0
2018,PETROBRAS,33.000.167/0001-01,349836000.0,124543000.0,26698000.0,26698000.0,283543000.0,860473000.0,860473000.0
2019,PETROBRAS,33.000.167/0001-01,302245000.0,122105000.0,40970000.0,40970000.0,299137000.0,926011000.0,926011000.0
2020,PETROBRAS,33.000.167/0001-01,272069000.0,123962000.0,6246000.0,6246000.0,311150000.0,987419000.0,987419000.0
2021,PETROBRAS,33.000.167/0001-01,452668000.0,219637000.0,107264000.0,107264000.0,389581000.0,972951000.0,972951000.0
2022,PETROBRAS,33.000.167/0001-01,641256000.0,334100000.0,189005000.0,189005000.0,364385000.0,976709000.0,976709000.0
2023,PETROBRAS,33.000.167/0001-01,511994000.0,269933000.0,125166000.0,125166000.0,382340000.0,1050888000.0,1050888000.0
2024,PETROBRAS,33.000.167/0001-01,490829000.0,246462000.0,37009000.0,37009000.0,367514000.0,1124797000.0,1124797000.0
2010,VALE,33.592.510/0001-54,83225007.0,49468940.0,30421492.0,30421492.0,116326864.0,214662114.0,214662114.0
2011,VALE,33.592.510/0001-54,103195407.0,62706537.0,37400224.0,37400224.0,146690367.0,241783112.0,241783112.0
2012,VALE,33.592.510/0001-54,93511482.0,41514098.0,9232934.0,9232934.0,155633216.0,266921654.0,266921654.0
2013,VALE,33.592.510/0001-54,101489747.0,48979109.0,-257964.0,-257964.0,152122066.0,291880311.0,291880311.0
2014,VALE,33.592.510/0001-54,88274564.0,29188660.0,219588.0,219588.0,149601623.0,309415532.0,309415532.0
2015,VALE,33.592.510/0001-54,85499184.0,16841450.0,-45996622.0,-45996622.0,139419590.0,345549435.0,345549435.0
2016,VALE,33.592.510/0001-54,94633264.0,33489834.0,13296496.0,13296496.0,133701739.0,322696154.0,322696154.0
2017,VALE,33.592.510/0001-54,108532022.0,41274711.0,17669992.0,17669992.0,148105642.0,328096703.0,328096703.0
2018,VALE,33.592.510/0001-54,134483126.0,53282222.0,25773768.0,25773768.0,173682178.0,341714838.0,341714838.0
2019,VALE,33.592.510/0001-54,148639921.0,64804358.0,-8696040.0,-8696040.0,157149353.0,369670328.0,369670328.0
2020,VALE,33.592.510/0001-54,208528759.0,109961265.0,24902341.0,24902341.0,180985984.0,478129515.0,478129515.0
2021,VALE,33.592.510/0001-54,293524000.0,176257000.0,121343000.0,121343000.0,197058000.0,499128000.0,499128000.0
2022,VALE,33.592.510/0001-54,226508000.0,102313000.0,96337000.0,96337000.0,194894000.0,453387000.0,453387000.0
2023,VALE,33.592.510/0001-54,208066000.0,88050000.0,40554000.0,40554000.0,198325000.0,455984000.0,455984000.0
2024,VALE,33.592.510/0001-54,206005000.0,74687000.0,30431000.0,30431000.0,213720000.0,496325000.0,496325000.0
2010,ITAU,60.872.504/0001-23,82620000.0,45780000.0,0.0,0.0,0.0,727481000.0,727481000.0
2011,ITAU,60.872.504/0001-23,103601000.0,48002000.0,0.0,0.0,573354000.0,818136000.0,818136000.0
2012,ITAU,60.872.504/0001-23,101582000.0,53515000.0,0.0,0.0,679706000.0,957154000.0,957154000.0
2013,ITAU,60.872.504/0001-23,94797000.0,48436000.0,0.0,0.0,724496000.0,1027297000.0,1027297000.0
