Ano,Empresa,CNPJ,Receita_Liquida,Resultado_Bruto,Lucro_Liquido,Resultado_Antes_IR,Patrimonio_Liquido,Passivo_Total,Ativo_Total,Margem_Liquida,ROE,ROA,Endividamento,Crescimento_Receita
2010,AMBEV,02.808.708/0001-07,25233310.0,16784263.0,7619243.0,7619243.0,24564842.0,42678300.0,42678300.0,30.195178516017123,31.016861415188423,17.85273312198471,73.73732751873592,
2011,AMBEV,02.808.708/0001-07,27126719.0,18333412.0,8719764.0,8719764.0,25828845.0,46139418.0,46139418.0,32.14455828587305,33.759790652659845,18.89872993196403,78.63523514117647,7.503609316415494
2012,AMBEV,02.808.708/0001-07,32231027.0,21939509.0,10642555.0,10642555.0,29923817.0,54159769.0,54159769.0,33.01959630389686,35.5654995484032,19.65029614509619,80.99218091061043,18.816532880367888
2013,AMBEV,07.526.557/0001-00,34791391.0,23393590.0,11354070.0,11354070.0,43997398.0,68674019.0,68674019.0,32.63471127095781,25.806230632093293,16.533283132883195,56.08654629985163,7.9437865879979475
2014,AMBEV,07.526.557/0001-00,38079786.0,25265198.0,12362019.0,12362019.0,43644669.0,72143203.0,72143203.0,32.46346762557962,28.324235887778183,17.135389733111793,65.29671241177243,9.451749141044697
2015,AMBEV,07.526.557/0001-00,46720141.0,30658770.0,12879141.0,12879141.0,50333633.0,90176234.0,90176234.0,27.566571342325357,25.587545011900893,14.28218991713493,79.15701415790909,22.690135390991962
2016,AMBEV,07.526.557/0001-00,45602561.0,28924602.0,13083397.0,13083397.0,46651273.0,83841418.0,83841418.0,28.690048789145855,28.04510179175604,15.604932874584732,79.71946446134493,-2.3920732602241035
2017,AMBEV,07.526.557/0001-00,47899276.0,29857498.0,7850504.0,7850504.0,47982855.0,86851989.0,86851989.0,16.38960889513236,16.36106063301152,9.038945555984906,81.00629693668708,5.036372847568793
2018,AMBEV,07.526.557/0001-00,50231336.0,30961709.0,11377427.0,11377427.0,57547424.0,94126138.0,94126138.0,22.650058521238613,19.770523525084286,12.087425705280715,63.5627304534083,4.868674841765874
2019,AMBEV,07.526.557/0001-00,52599709.0,30921550.0,12188332.0,12188332.0,62556005.0,101742944.0,101742944.0,23.171862034445855,19.483872091895893,11.979535406406168,62.642969288080344,4.714931332903438
2020,AMBEV,07.526.557/0001-00,58378995.0,31312896.0,11731909.0,11731909.0,75151124.0,125196579.0,125196579.0,20.096113336654735,15.611089196749738,9.37079039515928,66.59308914661078,10.987296526678513
2021,AMBEV,07.526.557/0001-00,72854344.0,37194600.0,13122582.0,13122582.0,84017617.0,138602483.0,138602483.0,18.012079005199745,15.61884574755316,9.467782766922003,64.96835776715734,24.795474810760275
2022,AMBEV,07.526.557/0001-00,79708827.0,39286758.0,14891291.0,14891291.0,83327827.0,137958083.0,137958083.0,18.682110326375774,17.870730026357222,10.794069239132584,65.56063918479478,9.40847535460616
2023,AMBEV,07.526.557/0001-00,79736856.0,40445285.0,14960459.0,14960459.0,80143802.0,132644133.0,132644133.0,18.762288545713414,18.66701931610382,11.278643586897282,65.50766208970221,0.03516423595093521
