,Média_Diária (%),Mediana_Diária (%),Desvio_Padrão_Diário (%),Variância_Diária,Skewness,Kurtosis,VaR_95% (%),VaR_99% (%)
AAPL,0.11984184665533251,0.09432864092674409,2.429951375517874,0.0005904663687381209,-1.4098841561508213,36.20638810373866,-3.579872583590565,-6.243824023829153
MSFT,0.058197187769746486,0.03819698644996761,1.8922668299111514,0.00035806737555819977,0.18543782087049773,9.612231191977665,-2.8037830344290193,-5.355628168312738
GOOGL,0.08980394298587349,0.0,1.753645105329799,0.00030752711554471614,0.6970297181363772,11.40720936754886,-2.5371515093889268,-4.798565481708886
NVDA,0.18547727585473095,0.13784462131706254,3.7243442661548074,0.001387074021284019,0.5705010750677398,12.01583945061151,-5.261572381479879,-9.415003037026894
META,0.05994196239914102,0.0,1.8127511204646107,0.0003286066624745702,0.6706836632556208,41.611539146997266,-2.428966224654969,-5.057121676591323
JPM,0.06702770550684971,0.03896403312627639,2.331891462793333,0.0005437717794248432,0.7971153506008251,15.85214366093603,-3.2242329588866414,-6.2300693820814
BAC,0.059388908697218995,0.03824784534431913,2.7282096924365544,0.0007443128125904758,0.8506689641564619,27.880832362562874,-3.3229371580613147,-7.28078165185288
GS,0.06507929855427863,0.04269749751876217,2.2552664266040057,0.00050862266549672,0.6896301967466378,13.988778675724419,-3.2115139517657045,-5.815633140823091
WFC,0.06132599920685446,0.027484646346531694,2.377346208442202,0.0005651774994794513,1.5308309478372242,28.709320322436213,-3.0262375604557965,-6.119236390696864
C,0.03125700877439261,0.0,2.906821619417908,0.000844961192711535,1.3414596719895113,48.95007128856964,-3.6086753541404173,-7.220118794703538
XOM,0.04288192717719832,0.04486518802528927,1.6528849939406767,0.000273202880319427,0.18381575440491074,8.917958144893953,-2.486866034425855,-4.429432833498943
CVX,0.049557587062302184,0.08206529494483306,1.728817518441286,0.0002988810012069486,0.07498254768104626,18.938056000588055,-2.5275728781197686,-4.344332560058728
COP,0.05974860159598327,0.06055311313476475,2.0925313188214534,0.000437868732024865,-0.054236346324839924,11.73886875183577,-3.0635317771739086,-5.61882546396039
JNJ,0.04073603069386844,0.03148435688241635,1.2057198630425014,0.00014537603881352286,-0.19761864011650873,12.414358350958366,-1.7607167542055797,-3.223337040419911
UNH,0.08352315573079151,0.07917228711303848,1.998219614396079,0.0003992881627357216,0.3717777320612778,25.707255805238585,-2.7145867652673155,-5.254258973796888
PFE,0.024776649929750646,0.0,1.5881209551935374,0.0002522128168324833,0.04730241912793895,4.84798817635206,-2.36365090908178,-4.252676640531307
WMT,0.042322637749993994,0.040106802758188564,1.4760923633676446,0.00021788486651922785,0.2807464335463831,8.500508527107144,-2.0775905480953454,-3.9937086225163627
AMZN,0.10745651880622359,0.048856787488571474,3.0829747513090773,0.0009504733317209266,1.1246374468558817,15.907194161826741,-4.172905285868145,-8.350898549323086
HD,0.05218186863866259,0.04830508022600766,1.8819227386303654,0.0003541633194174014,-0.4723017074506606,15.523688347052154,-2.72164881571276,-5.116698512223006
^GSPC,0.031246242609625354,0.06391191687694642,1.2215353130642452,0.00014921485210629633,-0.12025169085624865,10.457775552316761,-1.8507846884347283,-3.427236447984926
^DJI,0.0287583294206145,0.05230588526783375,1.1591765674391197,0.00013436903144999402,-0.09133790564944953,12.682517642811492,-1.7338380805320046,-3.1968616332719213
^IXIC,0.038934624355907305,0.09634758674793575,1.5712539553075937,0.00024688389920697574,0.09135893199510546,6.647577507354017,-2.545966271988484,-4.3061319395221185
